olid,lt,lg,c,rg,rt
1610,BA-0200,GS-0400,RH-3200,JA-2500,EF-0050
1611,WB-0400,KB-1400,JC-4800,JB-5400,JP-4350
1612,TS-2700,RL-0350,TF-1350,BW-0600,DF-1800
1613,MH-1030,JT-3450,NH-0200,RO-0300,DF-1250
1614,KB-0500,AG-1900,SW-1900,MB-3600,TP-0600
1615,SB-0100,JB-3900,PK-0250,GR-0300,JT-3500
1616,AC-1200,HT-0600,SS-0400,MM-2600,GC-0400
1617,BA-0200,JA-1050,RH-3200,JA-2500,DS-4050
1618,LJ-0750,WR-0100,BM-1900,UN-0100,AP-0370
1619,WB-0400,KB-1400,JC-4800,DD-1400,JP-4350
1620,BS-3050,DC-3000,LS-0500,PF-0100,EW-1500
1621,MH-1030,JT-3450,NH-0200,JC-3000,DF-1250
1622,KB-0500,LN-0400,AG-1900,MB-3600,MM-1960
1623,DF-0600,BW-2670,NM-0200,WC-0200,AH-3700
1624,JG-3900,TW-1400,RK-0100,CS-1150,BB-1600
1625,DP-1100,TL-0400,JZ-0300,DJ-3000,DD-2300
1626,KB-0750,RF-0900,FV-0100,DD-0750,MG-0500
1627,KB-0500,LN-0400,AG-1900,MB-3600,TP-0600
1628,EM-1300,KO-0750,GG-0350,MY-0100,MO-0200
1629,CG-1250,DL-0800,EW-1600,KU-0200,EP-0300
1630,CB-2400,WR-0100,BM-1900,UN-0100,AP-0370
1631,PM-0700,JC-1000,MU-0400,JS-7450,MB-3250
1632,CB-3400,BG-2200,BD-0800,JE-1000,BH-0650
1633,KD-1600,JT-3450,NH-0200,JC-3000,DF-1250
1634,MR-1700,AL-0700,BS-1150,CW-0650,DS-4400
1635,WB-0400,KB-1400,DB-0100,DD-1400,JP-4350
1636,DP-1100,JZ-0300,TL-0400,DJ-3000,DD-2300
1637,RR-0250,RS-1200,DR-0300,LW-0350,LW-0050
1638,KB-1400,JC-4800,DD-1400,JP-4350,ZD-0100
1639,BM-1600,RI-0100,MP-2000,JJ-2100,JM-1130
1640,KB-0500,LN-0400,SW-1900,MB-3600,MM-1960
1641,BM-1600,RI-0100,MP-2000,JJ-2100,TC-1400
1642,MR-1700,AL-0700,BS-1150,CW-0650,MO-0400
1643,JL-2500,CW-2700,SW-0800,SS-1900,JB-1400
1644,DP-1100,JM-4100,JZ-0300,DJ-3000,DD-2300
1645,KB-0750,RF-0900,FV-0100,GW-0700,MG-0500
1646,NS-0500,LM-0200,RW-1600,DC-3400,MC-0400
1647,EM-1300,AS-0920,GG-0350,MY-0100,MO-0200
1648,MK-0150,JB-3200,JS-7200,BF-1500,JW-1400
1649,JL-2500,CW-2700,SW-0800,JB-1400,RS-0100
1650,CB-2400,MB-3550,BM-1900,UN-0100,AP-0370
1651,KB-0500,LN-0400,SW-1900,MB-3600,MW-0950
1652,JG-3900,TW-1400,RK-0100,NC-0150,BB-1600
1653,MR-1700,AL-0700,CS-3100,CW-0650,DS-4400
1654,AW-1100,CB-2000,KC-2300,MP-1400,AS-2000
1655,BM-1600,SB-1450,NG-0100,JJ-2100,TC-1400
1656,DF-1250,JT-3450,NH-0200,CR-0900,JC-3000
1657,LH-1550,JB-3900,JH-2900,PK-0250,JT-3500
1658,KB-0750,GW-0700,FV-0100,DD-0750,MG-0500
