pid,bc,dir,yds,succ,kne
671876,AC-2350,RE,2,0,0
671877,LM-1850,MD,12,1,0
671878,LM-1850,LE,2,0,0
671884,ZS-0150,LT,6,1,0
671888,ZS-0150,MD,3,0,0
671892,DC-0725,NL,-1,0,1
671894,LM-1850,LG,8,1,0
671895,LM-1850,MD,2,1,0
671896,LM-1850,LT,0,0,0
671903,GS-1050,RE,5,1,0
671905,CI-0300,MD,4,1,0
671906,CI-0300,RG,3,0,0
671913,LM-1850,RT,25,1,0
671928,LM-1850,LE,0,0,0
671930,LM-1850,MD,9,1,0
671931,LM-1850,LG,2,1,0
671939,CI-0300,MD,-4,0,0
671944,GS-1050,RE,29,1,0
671947,CI-0300,RG,0,0,0
671951,LM-1850,LE,0,0,0
671955,CI-0300,RE,-1,0,0
671963,LM-1850,MD,-2,0,0
671971,LM-1850,RT,1,0,0
671976,ZS-0150,MD,2,0,0
671985,DC-0725,NL,-1,0,1
671987,ML-2500,LG,11,1,0
671988,ML-2500,MD,3,0,0
671991,ML-2500,LG,2,1,0
671992,ML-2500,LE,-2,0,0
671995,ML-2500,MD,4,1,0
671996,ML-2500,LT,1,0,0
672001,DM-1600,MD,8,1,0
672002,DM-1600,LE,4,1,0
672003,DM-1600,RG,2,0,0
672004,DM-1600,MD,12,1,0
672006,DM-1600,RT,0,0,0
672007,DM-1600,RT,0,0,0
672008,DM-1600,LG,3,1,0
672009,DM-1600,MD,3,0,0
672018,ML-2500,RT,4,0,0
672021,DM-1600,LG,-2,0,0
672025,ML-2500,RE,-1,0,0
672029,DM-1600,LE,3,0,0
672030,DM-1600,LT,-2,0,0
672034,ML-2500,LT,12,1,0
672035,TR-0112,LG,1,0,0
672037,TR-0112,LG,0,0,0
672043,CM-2280,MD,4,1,0
672044,MC-0700,LE,24,1,0
672046,CM-2280,LE,4,0,0
672047,MC-0700,MD,12,1,0
672049,CM-2280,RE,0,0,0
672058,MC-0700,NL,-1,0,1
672061,DM-1600,LT,3,0,0
672062,MC-0700,RE,8,1,0
672063,DM-1600,LT,6,1,0
672064,DM-1600,MD,2,0,0
672066,DM-1600,LT,8,1,0
672067,CM-2280,RT,3,1,0
672075,RW-3850,RE,3,0,0
672079,CM-2280,LE,9,1,0
672081,DM-1600,LT,3,0,0
672082,LW-1150,LE,2,0,0
672085,ML-2500,LG,7,1,0
672086,ML-2500,MD,7,1,0
672091,DM-1600,LT,4,1,0
672096,ML-2500,LT,9,1,0
672097,ML-2500,MD,6,1,0
672098,TR-0112,RG,7,1,0
672099,TR-0112,RT,2,1,0
672100,ML-2500,MD,2,1,0
672102,ML-2500,MD,0,0,0
672106,DM-1600,MD,1,0,0
672107,DM-1600,RT,7,1,0
672108,DM-1600,MD,-1,0,0
672111,ML-2500,MD,4,1,0
672115,RW-3850,RE,7,1,0
672118,ML-2500,LG,3,0,0
672119,RW-3850,RE,8,1,0
672120,ML-2500,MD,6,1,0
672121,ML-2500,RE,-3,0,0
672122,RW-3850,RE,10,1,0
672123,ML-2500,LE,-2,0,0
672124,ML-2500,LT,-2,0,0
672125,RW-3850,RE,5,0,0
672134,RW-3850,NL,-1,0,1
672139,RH-2350,LT,1,0,0
672142,EL-0010,RT,4,1,0
672143,EL-0010,MD,11,1,0
672146,JS-6200,RG,0,0,0
672151,RH-2350,RE,16,1,0
672152,RH-2350,LG,3,0,0
672154,CA-0750,MD,9,1,0
672155,CA-0750,LT,8,1,0
672157,RH-2350,LG,0,0,0
672159,RH-2350,MD,1,1,0
672170,RH-2350,LT,-2,0,0
672174,RH-2350,MD,15,1,0
672178,EL-0010,MD,0,0,0
672179,EL-0010,RT,1,0,0
672183,CA-0750,MD,8,1,0
672185,CA-0750,RT,19,1,0
672186,RH-2350,LE,7,1,0
672187,RH-2350,MD,-1,0,0
672188,RH-2350,MD,0,0,0
672191,AR-1300,RE,14,1,0
672192,JS-6200,MD,4,1,0
672196,EL-0010,LG,1,0,0
672198,RC-1500,LE,10,1,0
672199,EL-0010,LT,15,1,0
672201,EL-0010,LT,1,0,0
672202,EL-0010,MD,2,1,0
672210,RH-2350,MD,0,0,0
672213,CA-0750,MD,-1,0,0
672217,EL-0010,MD,-1,0,0
672221,JS-6200,MD,2,1,0
672222,JS-6200,MD,0,0,0
672224,AR-1300,MD,17,1,0
672225,JS-6200,MD,3,0,0
672226,EL-0010,MD,3,0,0
672232,CA-0750,LG,2,0,0
672234,CA-0750,RE,-2,0,0
672237,JT-2450,LE,-1,0,0
672238,CA-0750,MD,28,1,0
672245,EL-0010,RT,1,0,0
672249,RH-2350,RG,3,0,0
672250,RH-2350,RG,8,1,0
672252,CA-0750,RG,1,0,0
672254,RH-2350,LT,1,0,0
672261,RH-2350,MD,4,1,0
672263,RH-2350,RE,3,1,0
672271,CA-0750,LT,5,1,0
672272,CA-0750,RG,18,1,0
672273,CA-0750,RT,3,1,0
672274,CA-0750,LG,6,1,0
672275,RH-2350,LG,1,1,0
672276,RH-2350,LE,0,0,0
672277,RH-2350,RT,0,0,0
672278,CA-0750,MD,-3,0,0
672280,AH-1150,MD,0,0,0
672281,AH-1150,MD,2,0,0
672284,AL-1100,MD,0,0,0
672285,JS-6700,LG,3,0,0
672290,FG-0200,LT,5,1,0
672291,FG-0200,LT,2,0,0
672293,JS-6700,LG,1,0,0
672296,JS-6700,MD,2,0,0
672299,JS-6700,RE,2,0,0
