uid,gid,player,pat,fgs,fgm,fgl,fpts,game,seas,year,team
7998,4032,GZ-2000,0,1,1,0,7,3,4,2015,STL
7999,4033,CC-1150,6,1,0,0,9,3,2,2015,ARI
8000,4033,PD-0200,1,0,0,0,1,3,18,2015,SF
8001,4034,DC-0500,5,1,0,1,13,3,8,2015,BUF
8002,4034,AF-1150,0,0,0,0,0,3,1,2015,MIA
8003,4035,SH-0400,2,2,2,0,16,3,8,2015,SEA
8004,4036,BM-1650,3,0,1,0,7,3,3,2015,DEN
8005,4036,MP-2100,0,0,0,0,0,3,10,2015,DET
8006,4037,MC-3000,5,0,1,0,9,3,9,2015,GB
8007,4037,CS-0250,2,0,0,0,2,3,2,2015,KC
8008,4038,JS-1100,2,1,1,0,9,4,12,2015,PIT
8009,4038,JT-3950,2,0,2,1,15,4,4,2015,BAL
8010,4039,NF-0300,3,1,1,0,10,4,9,2015,NYJ
8011,4039,AF-1150,2,0,0,0,2,4,1,2015,MIA
8012,4040,AV-0400,1,2,0,1,12,4,20,2015,IND
8013,4040,JM-7000,1,2,0,0,7,4,1,2015,JAC
8014,4041,JB-7100,1,0,1,0,5,4,13,2015,NYG
8015,4041,DC-0500,1,0,0,1,6,4,8,2015,BUF
8016,4042,GG-0100,4,3,0,0,13,4,7,2015,CAR
