pid,kicker,kgro,knet,ktb,kr,kry
661100,JB-7100,65,45,1,,0
661131,GG-0100,65,45,1,,0
661139,GG-0100,65,27,0,BR-0050,38
661144,GG-0100,75,43,0,BR-0050,32
661153,KB-1850,65,45,1,,0
661184,GG-0100,65,45,1,,0
661199,KB-1850,65,45,1,,0
661218,KB-1850,65,45,1,,0
661226,GG-0100,65,45,1,,0
661239,GG-0100,65,45,1,,0
661250,KB-1850,60,34,0,FW-0750,26
661259,GG-0100,65,45,1,,0
661284,GG-0100,68,46,0,BR-0050,22
661298,KB-1850,13,13,0,,0
661301,CS-4250,65,45,1,,0
661318,DH-3970,65,45,1,,0
661333,DH-3970,65,45,1,,0
661361,DH-3970,65,45,1,,0
661377,DH-3970,65,45,1,,0
661388,CS-4250,65,45,1,,0
661399,CS-4250,65,45,1,,0
661409,DH-3970,65,45,1,,0
661424,CS-4250,68,46,0,RR-1150,22
661468,DH-3970,65,45,1,,0
661473,SJ-0300,65,45,1,,0
661483,RG-1500,58,25,0,,0
661519,SJ-0300,70,44,0,MM-0900,26
661529,SJ-0300,65,45,1,,0
661538,RG-1500,47,36,0,RH-1600,11
661547,RG-1500,65,45,1,,0
661553,RG-1500,49,39,0,RH-1600,10
661567,SJ-0300,65,45,1,,0
661599,RG-1500,65,45,1,,0
661624,SJ-0300,65,45,1,,0
661637,RG-1500,44,7,0,RH-1600,37
661638,NN-0200,65,36,0,EW-0500,29
661656,MB-3000,66,45,0,KM-3250,21
661680,MB-3000,69,44,0,KM-3250,25
661692,MB-3000,65,45,1,,0
661713,MB-3000,65,45,1,,0
661731,MB-3000,65,45,1,,0
661744,MB-3000,69,45,0,KM-3250,24
661761,MB-3000,65,45,1,,0
661773,NN-0200,65,45,1,,0
661789,NN-0200,41,41,0,,0
661804,NN-0200,65,45,1,,0
661821,CS-0250,65,45,1,,0
661830,MN-0800,69,47,0,KD-0450,22
661844,CS-0250,65,45,1,,0
661853,MN-0800,68,45,0,KD-0450,23
661861,CS-0250,71,46,0,AJ-1200,25
661877,CS-0250,72,50,0,AJ-1200,22
661893,CS-0250,52,46,0,GB-0350,6
661894,MN-0800,69,-1,0,DT-0850,70
661912,MN-0800,70,45,0,KD-0450,25
661921,CS-0250,65,45,1,,0
661938,MN-0800,63,47,0,KD-0450,16
661956,CS-0250,55,25,0,,0
661966,MN-0800,65,45,1,,0
661973,CS-0250,15,15,0,,0
661985,JL-0207,65,30,0,JG-1250,35
662014,TC-2450,65,45,1,,0
662025,JL-0207,65,45,1,,0
662031,TC-2450,73,49,0,BO-0150,24
662041,JL-0207,72,35,0,JG-1250,37
662071,JL-0207,65,45,1,,0
662083,TC-2450,43,38,0,JP-2800,5
662084,TC-2450,65,45,1,,0
662105,TC-2450,69,46,0,BO-0150,23
662110,JL-0207,65,45,1,,0
662132,TC-2450,69,39,0,BO-0150,30
662140,JL-0207,70,32,0,JG-1250,38
662152,TC-2450,68,38,0,BO-0150,30
662162,BP-0750,65,45,1,,0
662177,MC-3000,65,45,1,,0
662222,BP-0750,65,45,1,,0
662238,MC-3000,65,45,1,,0
662258,MC-3000,65,45,1,,0
662271,MC-3000,73,53,0,BE-0350,20
662312,GZ-2000,70,51,0,DJ-1325,19
662317,GZ-2000,65,45,1,,0
662339,CC-1150,69,44,0,BC-3070,25
662358,CC-1150,69,30,0,BC-3070,39
662374,GZ-2000,65,45,1,,0
662384,CC-1150,71,50,0,BC-3070,21
662394,CC-1150,65,45,1,,0
662415,GZ-2000,65,45,1,,0
662426,CC-1150,67,28,0,BC-3070,39
662438,CC-1150,65,45,1,,0
662447,GZ-2000,65,45,1,,0
662457,CC-1150,69,51,0,BC-3070,18
662472,BM-1650,65,45,1,,0
662488,BM-1650,65,45,1,,0
662518,BM-1650,69,55,0,CP-0750,14
662531,BM-1650,65,45,1,,0
662546,BW-0350,65,45,1,,0
662557,BW-0350,65,45,1,,0
662559,BW-0350,65,45,1,,0
662570,BM-1650,58,38,0,CP-0750,20
662606,BW-0350,72,46,0,AC-0100,26
662618,BW-0350,70,41,0,AC-0100,29
662629,BM-1650,65,45,1,,0
662637,DB-0200,64,30,0,MM-5750,34
662650,DB-0200,65,45,1,,0
662663,TM-3300,65,45,1,,0
662677,DB-0200,65,45,1,,0
662710,TM-3300,73,56,0,LD-0850,17
662720,TM-3300,65,45,1,,0
662730,DB-0200,65,45,1,,0
662746,TM-3300,65,45,1,,0
662767,ZH-0150,73,50,0,DM-1600,23
662788,DB-0200,65,45,1,,0
662798,DB-0200,65,45,1,,0
662801,SH-0400,65,45,1,,0
662843,SH-0400,65,45,1,,0
662856,MP-2100,55,44,0,TL-1025,11
662868,SH-0400,68,37,0,AA-0025,31
662875,MP-2100,45,29,0,WT-0400,16
662885,SH-0400,70,47,0,AA-0025,23
662929,SM-0650,60,41,0,TL-1025,19
662949,PM-0300,65,45,1,,0
662969,PM-0300,65,45,1,,0
662984,PM-0300,65,45,1,,0
663005,PM-0300,65,45,1,,0
663020,NN-0200,69,45,0,GW-0650,24
663040,NN-0200,71,21,0,GW-0650,50
663046,PM-0300,65,45,1,,0
663067,NN-0200,65,45,1,,0
663088,PM-0300,65,45,1,,0
663098,NN-0200,65,45,1,,0
663117,CS-0250,65,45,1,,0
663135,CS-0250,65,45,1,,0
663152,RG-1500,42,31,0,AS-0900,11
663169,CS-0250,65,45,1,,0
663197,CS-0250,65,45,1,,0
663199,RG-1500,65,45,1,,0
663224,RG-1500,65,45,1,,0
663264,RG-1500,65,45,1,,0
663279,RG-1500,70,51,0,DT-0850,19
663283,SH-0400,74,51,0,BT-0300,23
663292,MN-0800,65,45,1,,0
663302,SH-0400,73,54,0,BT-0300,19
663356,MN-0800,67,46,0,TL-1025,21
663372,SH-0400,70,51,0,BT-0300,19
663378,SH-0400,68,42,0,BT-0300,26
663406,MN-0800,65,45,1,,0
663425,MN-0800,65,45,1,,0
663438,MN-0800,65,45,1,,0
663464,MB-3000,65,45,1,,0
663502,DH-3970,65,45,1,,0
663516,MB-3000,68,42,0,RR-1150,26
663539,DH-3970,65,45,1,,0
663571,MB-3000,62,35,0,RR-1150,27
663589,MB-3000,65,45,1,,0
663595,DH-3970,65,45,1,,0
663606,DH-3970,65,45,1,,0
663618,MB-3000,65,45,1,,0
663623,MB-3000,65,45,1,,0
663631,JM-7000,65,45,1,,0
663641,CB-0700,65,45,1,,0
663666,JM-7000,65,45,1,,0
663675,CB-0700,65,45,1,,0
663685,CB-0700,65,45,1,,0
663697,CB-0700,71,43,0,CG-1950,28
663706,JM-7000,64,25,0,,0
663709,CB-0700,70,28,0,CG-1950,42
663722,JM-7000,65,45,1,,0
663739,JM-7000,65,45,1,,0
663748,CB-0700,68,45,0,CG-1950,23
663751,CB-0700,65,45,1,,0
663766,CB-0700,65,45,1,,0
