uid,pid,ptm,pen,desc,cat,pey,act
59107,658528,CIN,RB-2275,Offensive Holding,2,10,A
59108,658531,CIN,TE-0300,False Start,1,5,A
59109,658549,BAL,JF-1900,Intentional Grounding,3,10,A
59110,658570,BAL,KO-0750,Face Mask,6,14,A
59111,658593,JAC,BL-1150,Offensive Holding,2,10,A
59112,658605,NE,RG-2200,Offensive Pass Interference,2,10,A
59113,658612,NE,LR-0600,Illegal Contact,5,5,A
59114,658626,JAC,,Illegal Formation,3,5,A
59115,658627,JAC,BL-1150,Offensive Holding,2,0,D
59116,658654,JAC,DS-2200,Roughing the Passer,6,3,A
59117,658675,JAC,BA-0850,Delay of Game,3,5,A
